id;discount_code;discount_type;discount_value;discount_amount
6817406a-1853-40b2-bf88-78c0eaea8fbc;growing;slowly lazy unto;22761.11;13100.69
56bf955a-715e-47b9-8af3-97656b8a7d33;notwithstanding helplessly till;eke;31325.81;7240.57
2966e7d9-9c89-4933-8e48-87776048ebea;provided;coarse when;7499.72;5642.46
9a9869aa-9ba4-404d-bfe8-24c046836cf4;the blah gust;but failing;23148.61;11304.12
89e3e5e8-1bf3-4759-a16a-47fd07098dcb;mild;likewise;27054.19;4083.51
60ab465d-f8e2-4851-a7b9-a64a09346b58;electric mmm separate;gut technologist bowed;20835.87;29526.12
7835f20e-d31b-4786-a5aa-3122866fef42;veto homeschool lashes;as gosh;5689.49;1438.76
244e2e9d-0d7a-4979-ab9d-f1b47c9ad1ea;ostrich more loyally;tall whoever;2266.22;13101.1
8b6c8d70-daca-4a35-9dc6-379c8867e100;consequently wealthy place;absent;3538.47;6510.78
6e46486e-c1df-4471-904d-3221a0563380;roger phooey um;which kooky;4366.31;10133.49
