id;item_name;quantity;unit_price;item_total
af5dc673-8aa9-4d06-bada-a8a2a822eef0;duh;12938;29522.34;935.37
58beac68-5d0b-4fd2-8c4c-22e32226c9ce;furthermore wherever blah;13343;1435.24;27587.84
0d0d1f8f-e619-4fdb-97ef-fce9a3dd7880;to below e-mail;22178;29415.1;1921.31
4adbef09-534f-4b85-939d-257ffba00226;brightly;23955;29785.4;31201.83
6a8f7e1f-0430-490d-833e-a925c24d607b;sadly what above;13830;31293.07;18883.16
fafe339d-2cac-43f1-9b24-c9ff3d73c9f9;helpfully redact;31440;19206.11;26687.94
42df47e1-5eec-4ecd-95fc-16b1928f59da;off or;27114;11632.22;21499.49
cb4917e7-d629-4d6a-9147-29474a17e6b8;times millet amid;11649;27438;23896.99
b0977574-632c-43b6-94fc-a339bfeac821;boiling;12337;28621.48;20769.66
f211a0c6-3adc-4260-9f24-32a12145c2a9;meager;25151;6455.74;2751.45
