id;tax_name;tax_rate;taxable_amount;tax_amount
f70f8bb7-62e8-408a-9387-d92b9647e15a;surprised;27846.32;25870.15;21824.76
e5e7e5af-5a32-4f85-bdec-2ec7ef25ea6e;promptly forenenst;7590.79;4539.98;22972.61
fd4f3dd6-86c4-4d95-87bf-a45ce2a587e1;key;27543.13;1415.02;14996.64
6a8e84e5-44f7-412e-abfd-42cf58f5abf3;honestly woot reword;28842.08;24391.14;7691.1
9d2d3a74-d273-4017-9f37-f0a86b08e95d;mash;15065.66;4161.44;6109.65
a5300b50-5692-444d-a430-a01d9569a3a7;illustrious;32379.81;27826.05;11563.99
49383b09-29f2-4790-84ee-d38e6317d04e;treasure fatal;29073.85;3278.59;13029.76
ad3e8d6b-8a0c-4a2f-a504-4ae639ce6b4e;subtle correctly conjecture;17204.09;15662.2;22441.18
9df8fc58-b3c2-425a-9939-8e33ef405ea3;curiously urgently urgently;11635.43;32580.4;21924.35
1ba06a9d-fc77-4fa4-8ddc-2e98da8a6702;yippee developing tattered;13824.66;30981.3;32481.53
