id;name;code;description;contact_email;contact_phone;address_line_1;address_line_2;city;state;country;postal_code;latitude;longitude;opening_time;closing_time;timezone;max_capacity;is_active
bfb37c90-7611-49a6-ba7d-7f01c2d4fa43;complete;considering what if;../fake-data/blob/hipster.txt;without fortunately;expensive generally;toward although;insolence hyena restfully;Jovaniland;zowie or;Ethiopia;young but before;17505.61;3880.85;09:56:00;10:01:00;sushi quizzically redraw;10251;true
fc9b9b1f-56d2-40db-b327-b690b00061bb;um duh;pfft justly;../fake-data/blob/hipster.txt;restfully vastly detain;which excluding yum;jungle portly;after rot reclassify;New Janiya;save limply;Austria;searchingly disgorge;186.57;245.92;10:35:00;10:50:00;for;16854;true
40247b48-a5c0-4891-affc-4e313c7e58c0;truthfully longingly ugh;properly jazz;../fake-data/blob/hipster.txt;rationalize;helplessly circumnav;misspend;agreement papa as;Fort Percyburgh;neatly;United Arab Emirates;reconsideration unne;20604.8;31372.83;02:37:00;21:11:00;mostly hidden scholarship;32528;true
356d2e7d-0817-4714-9cb2-0585c16b7f0f;supposing ha alongside;what than;../fake-data/blob/hipster.txt;indeed off;by;fake whereas aha;weight;Smyrna;monthly lazy promptly;Isle of Man;frank;3933.11;21045.78;11:32:00;08:57:00;lively wrongly swiftly;5896;true
846b84b3-5aa3-49c3-a4dc-f5f1cf3254a8;how;officially;../fake-data/blob/hipster.txt;although design enrage;pretend yuck;viability;however;Lake Darien;swill wisely hole;Andorra;about;28158.48;27453.32;01:20:00;00:04:00;on spiteful besides;89;false
4c7e1857-5525-4724-8e7a-4904fbac6b6e;aha absentmindedly;shiny;../fake-data/blob/hipster.txt;weary;gah yum;on fearless;interestingly plain;Phoebeboro;lock;Saint Kitts and Nevis;palatable violently;31591.44;10891.57;12:20:00;14:04:00;than;25003;true
2153614b-b95f-4a75-9d52-e7e17c138c3c;official honesty;break phooey accidentally;../fake-data/blob/hipster.txt;serpentine ravel;ugh;whether;hm;Aspen Hill;apprehensive lava misjudge;Austria;usefully;2113.6;18363.19;01:34:00;17:25:00;oxidize hairy;7815;true
adbe3112-4f59-4260-adaf-4b1516262d2d;gleefully;likewise versus lyre;../fake-data/blob/hipster.txt;pace knowledgeably;medium aha continual;exactly;wonderfully separately;Kalebury;aircraft reservation;Norway;dramatic to;32765.6;25320.89;22:25:00;12:32:00;near order wallaby;4060;false
495a34f3-7525-471e-acb8-014d2590a274;actually around;gently after than;../fake-data/blob/hipster.txt;brr incline;upside-down for;above rightfully misreport;what;South Kileystad;grown redress bleakly;Guinea;geez burly;17718.35;24149.24;18:27:00;22:51:00;but transom;16047;true
90b621c9-97ed-43b9-ae87-bcef80fcb0c0;into;insecure cannibalise nor;../fake-data/blob/hipster.txt;why shy;provided swanling wi;whether;tarry along;Midland;even considering;Turkey;now beside weary;14627.17;31844.97;02:21:00;09:34:00;luck;31743;true
