id;loyalty_points;tier;enrolled_at;last_points_earned_at;is_active
05aafb4d-7ce3-472e-8e3f-c4deb17b78eb;4092.78;galvanize;2025-12-28T01:06:52;2025-12-27T18:45:11;false
fa08cdd1-5235-40c8-9cac-c471e252d2ea;8375.59;beneath;2025-12-27T19:06:54;2025-12-27T08:08:47;true
63cc7e08-f854-496d-8051-3c72a3b10062;31146.61;whenever;2025-12-27T12:50:31;2025-12-28T01:53:39;false
dbde8622-9f1a-4ca1-a2a2-aa7073bd3558;15968.33;tremendously replacement;2025-12-28T05:00:37;2025-12-27T16:45:09;false
554470b7-380f-4c08-bb85-aca2a053820e;21488.13;wonderful;2025-12-27T22:48:53;2025-12-28T01:43:27;true
850795ac-9763-4db5-8a51-830f7811f13a;19112.24;dock before;2025-12-27T08:08:55;2025-12-27T19:42:31;true
4809e338-8163-4453-857c-b24ead4360f4;32738.47;unless;2025-12-27T17:57:23;2025-12-28T04:55:17;true
6fee463c-3c0e-4746-8c00-d422cda827a2;4931.52;traditionalism bah;2025-12-27T05:36:16;2025-12-27T15:29:05;true
92a66ef8-31df-4189-9636-cad5c0769cb1;20405.23;collectivization freely;2025-12-27T18:14:52;2025-12-27T22:00:06;true
e261cb5a-d0a5-4bbb-ba87-c33cb720c41e;23789.23;shanghai regarding;2025-12-27T14:24:12;2025-12-27T19:37:22;true
