id;current_stock;unit;min_stock_level;max_stock_level;last_updated_at;last_updated_by
9f7e1720-f015-44bd-afae-8b4813eb39d5;31486.63;but ouch;15548.38;31015.9;2025-12-27T19:02:56;weekly via woot
1491975f-7698-4ea0-b58d-ff560a45bc1e;10237.14;yowza;16207.71;18061.63;2025-12-27T21:08:12;while as juggernaut
8684a3e3-0387-4aab-8881-c75cd21316cb;18322.77;jungle frenetically um;685.12;4404.13;2025-12-27T11:22:46;though sate
60ca5fdb-1b5c-444a-8bc1-505cc9d3bfd9;18690.86;pretend within;18090.15;4843.09;2025-12-28T02:44:20;yuck
1516ea6f-152c-47a3-a100-17dd528e0eb0;12265.69;yahoo qua;29171.43;22502.97;2025-12-28T00:22:40;till where
43d2eae2-78ba-4c6d-99a2-0241710c30d5;16571.92;chromakey atop;2457.72;12067.1;2025-12-28T05:03:18;festival
9d49f3bb-9992-4369-a0be-39e853160fce;11604.95;aw;968.84;5235.95;2025-12-27T11:02:41;yahoo subexpression massage
5c163cdb-dc5a-4fdd-8230-51f84b7fe5a2;25573.05;whoever;3388.22;12990.09;2025-12-27T12:15:37;since clone
bf5ccd12-ed1a-44bf-816b-4f7b81ba21dc;1536.95;ah presume;10026.5;21821.33;2025-12-27T09:45:23;within
31e23027-01bd-4c23-bb9a-353a951a7b70;29160.96;more searchingly;2009.28;24642.09;2025-12-27T06:13:27;incidentally sway
