id;order_number;order_type;order_source;status;order_date;estimated_ready_time;actual_ready_time;special_instructions;subtotal;tax_amount;discount_amount;total_amount;is_paid;cancelled_at;cancelled_by;cancellation_reason
44738e4f-6e5a-4b3c-b67f-a6a74dbed398;ugh;and as battle;gadzooks hmph;an continually;2025-12-27T12:50:44;2025-12-27T21:26:03;2025-12-27T16:43:50;../fake-data/blob/hipster.txt;14311.47;1198.13;30066.04;13722.77;true;2025-12-27T21:19:14;until woot;../fake-data/blob/hipster.txt
e8181130-2e5e-4c2d-ba22-b3e79484eeef;vibration impact;whereas mmm;corner;aw frugal alongside;2025-12-27T13:40:03;2025-12-27T08:11:11;2025-12-27T11:39:24;../fake-data/blob/hipster.txt;5955.13;10408.72;17465.68;12502.87;true;2025-12-27T11:47:04;evince;../fake-data/blob/hipster.txt
9de09391-117c-4c01-a195-808061c40043;unnecessarily;around upward;how stingy;provided up graft;2025-12-28T01:48:24;2025-12-27T12:24:08;2025-12-27T20:31:06;../fake-data/blob/hipster.txt;19846.98;11590.9;18171.49;8069.01;false;2025-12-27T20:32:31;scary madly;../fake-data/blob/hipster.txt
a8fcf44b-6d01-45ba-8873-e3a2c16334f0;deduction beyond;excepting;athletic;dampen yummy instantly;2025-12-27T13:32:02;2025-12-27T22:17:16;2025-12-28T00:04:42;../fake-data/blob/hipster.txt;30773.46;19217.99;25307.02;1552.82;false;2025-12-27T21:41:32;youthfully;../fake-data/blob/hipster.txt
3b73b133-d5f7-4bdf-8d1d-a813e21491da;devise equatorial wherever;lest tough;besides character;livid;2025-12-27T05:56:14;2025-12-27T20:12:19;2025-12-27T20:06:49;../fake-data/blob/hipster.txt;2833.08;15372.91;2566.22;22945.04;false;2025-12-27T13:43:09;likewise;../fake-data/blob/hipster.txt
ba283816-1b72-47cd-acdd-32f7ba22a49d;shout reference slowly;recovery lightly tray;yuck uh-huh lawful;often mmm unfinished;2025-12-28T01:07:08;2025-12-27T21:32:26;2025-12-27T09:03:06;../fake-data/blob/hipster.txt;5766.57;1287.76;18312.43;27300.28;true;2025-12-27T16:07:50;likewise;../fake-data/blob/hipster.txt
a38c26c0-800f-4e69-a467-d27798d2437e;except against;quirkily;enfold geez;even;2025-12-27T12:07:53;2025-12-27T17:57:14;2025-12-27T09:29:30;../fake-data/blob/hipster.txt;14673.15;27870.17;23837.21;18676.74;false;2025-12-27T20:19:08;massage;../fake-data/blob/hipster.txt
e6c73770-7bb1-4902-afa0-ba782ed65f04;scale;rigidly climb scout;joint alert recklessly;turret madly;2025-12-27T18:41:40;2025-12-27T21:31:52;2025-12-27T09:10:16;../fake-data/blob/hipster.txt;27448.5;22822.57;10158.95;14964.54;false;2025-12-27T15:24:00;wiggly;../fake-data/blob/hipster.txt
3b606005-a842-4ba2-b64d-c096ca6787ee;descriptive monumental trash;stunt whereas culture;stingy;psst;2025-12-27T07:38:03;2025-12-28T05:05:20;2025-12-27T19:52:55;../fake-data/blob/hipster.txt;17959.45;19133.51;4294.48;30496.33;true;2025-12-27T05:21:52;shark taxicab;../fake-data/blob/hipster.txt
cbd8734a-c729-4152-b8e8-67cf2504927d;ick down;motivate for heavily;even;whenever around delightfully;2025-12-28T04:31:24;2025-12-27T10:02:29;2025-12-27T22:03:56;../fake-data/blob/hipster.txt;25760.25;12179.25;21039.24;2238.64;false;2025-12-28T03:46:40;oh;../fake-data/blob/hipster.txt
