id;name;code;description;item_type;cuisine_type;is_vegetarian;is_vegan;is_alcoholic;spice_level;preparation_time;base_price;image_url;is_available;is_active;display_order
b2f4978b-1fc1-424a-9d3e-15821051bbad;bah ack indeed;provided given;../fake-data/blob/hipster.txt;pfft not unused;mmm lest;true;true;true;14339;12642;28237.31;diligently cook;true;false;19468
591d54d9-653a-413d-8be5-4c8e329a5709;whenever tributary versus;aw quicker;../fake-data/blob/hipster.txt;worthy;publicize immediate that;false;false;false;27840;15856;20282.11;who content;true;false;20813
d8f37722-b8ed-41a8-9ce0-1c994f072e70;frivolous inasmuch;wherever circulate;../fake-data/blob/hipster.txt;but yowza enthusiastically;rout;true;true;false;32758;4026;23436.78;easily whether formal;false;true;20731
90f06950-405b-491a-99ab-052da9ef65c7;hm importance what;the;../fake-data/blob/hipster.txt;magnificent;between pulp or;true;true;true;10430;290;20313.12;given enfold who;false;false;7848
ced02581-22eb-4ac8-b35e-42ae547c8ba5;concerning stint before;insert very colossal;../fake-data/blob/hipster.txt;considering afore incline;marimba;false;true;true;6450;15661;6315.39;utilized pastel exterior;true;false;14624
35fac4b0-b9af-4176-af9f-f08921bfaf83;gadzooks rebuff snappy;well-worn;../fake-data/blob/hipster.txt;smug;out courtroom;true;true;true;20811;2678;11086.53;puppet gosh;true;true;22008
f4ee7873-a8f3-485b-81a3-d94fc784dbdb;slime suspension;miserly;../fake-data/blob/hipster.txt;slink;eek gleefully aha;true;false;false;13512;9628;7937.97;dreamily;true;false;13380
2e20236c-93b2-4540-a979-540e5be15f4a;hm fooey dependable;valley;../fake-data/blob/hipster.txt;casement after officially;function instantly shocked;false;true;true;3048;13556;16592.02;with consequently pfft;false;false;3363
a0b32e03-e4e0-4d1f-9e96-03acf415b0ce;utilization wildly sport;probate;../fake-data/blob/hipster.txt;surprisingly;certify quinoa toothbrush;true;false;false;19315;1381;14634.21;mean during suffice;false;true;32043
19cd426f-aa18-4024-941e-fb830af07328;spark range unselfish;hydrant;../fake-data/blob/hipster.txt;off psst yowza;lest haul;true;true;true;12608;4130;28703.16;hm;false;true;24178
