id;name;code;description;logo_url;contact_email;contact_phone;address_line_1;address_line_2;city;state;country;postal_code;timezone;is_active
6e0fc964-9a3a-45b8-9a75-d7f41ffd3a33;aboard than incidentally;drat;../fake-data/blob/hipster.txt;boo upward;table;innovation enchanted;outgoing;thoughtfully coin;Lincoln;secrecy excepting blissfully;Botswana;whether sans self-re;whoa;true
eef254be-f5ea-4aef-811c-9adc32576321;tomorrow prime woot;emerge;../fake-data/blob/hipster.txt;fatal;yet famously between;powerfully well trul;finally beret accentuate;merrily pro bonnet;Cronaborough;needy till polished;Paraguay;acquaintance when;round anesthetize whine;false
90291340-7db3-4335-b4de-3d7a3e9521c3;retention so revoke;however with vary;../fake-data/blob/hipster.txt;enroll account council;oxidize into;hovel unless;ah;uncomfortable typewriter;Rodriguezstead;roger gratefully;Qatar;furthermore;however self-confidence;true
07b3516b-eec3-4e35-b162-94a65c9b8b4a;how;yearly whoa unused;../fake-data/blob/hipster.txt;embarrassment unlike;anguished breakable;devoted doting;whose obnoxiously simple;after psst deficient;West Devanteborough;daughter above wildly;Faroe Islands;celebrate bus;meanwhile till;true
dfcf0e92-df8a-479d-a8d3-693109a7de36;although plumber;saw;../fake-data/blob/hipster.txt;rationalize parallel;how;beneath elegantly;pro all uh-huh;sudden;New Elliot;after except boohoo;Antigua and Barbuda;approach;gum;true
956fbf70-b22d-4f15-9747-bcfb4289897d;incidentally hm;for misreport;../fake-data/blob/hipster.txt;whose;vice fooey descent;disarm;around;coaxingly fence pro;Unamouth;next malfunction afore;Saint Kitts and Nevis;for qua;idealistic;false
9175d66d-6a15-48de-bd4f-6092a4cffbc5;pace beautifully;how;../fake-data/blob/hipster.txt;pro official;overconfidently;toe parsnip fictiona;during poppy gosh;failing brand;Ontario;oddly print;Reunion;helpless;masculinize overfeed though;true
4787c731-9830-4cd9-8c3b-c153c84cda9c;manipulate;before;../fake-data/blob/hipster.txt;aw;what presume;miserable;ride;keenly weep emphasize;Erikacester;above among;Czechia;dapper psst;aw because;true
48b58ff9-606d-4088-8769-a5bba317fb87;boo mmm toward;amid terribly inside;../fake-data/blob/hipster.txt;knuckle unwritten;verbally;baa bitterly contrad;beyond out;supposing;Erikville;quicker wrong monster;Canada;teeming briskly;and pish;false
5d564365-9e9b-4cc9-bb78-3eac4b6879af;after;far-flung brood dusk;../fake-data/blob/hipster.txt;flowery;inasmuch sting;who pfft;nor;huge;Eulastead;volunteer;Isle of Man;weep;accentuate cleverly;true
